Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",111.900000,-86.047000,0.000000,bottom
"C2","10uF","C_0805_2012Metric",107.569000,-74.041000,180.000000,bottom
"C3","47uF","C_1210_3225Metric",118.237000,-71.723000,90.000000,bottom
"C4","47uF","C_1210_3225Metric",114.935000,-71.723000,90.000000,bottom
"C5","1uF","C_0402_1005Metric",118.753000,-77.597000,90.000000,bottom
"C6","4700pF","C_0402_1005Metric",107.500000,-77.827000,180.000000,bottom
"C7","1uF","C_0402_1005Metric",107.480000,-75.565000,180.000000,bottom
"C8","0.1uF","C_0402_1005Metric",117.348000,-78.105000,0.000000,bottom
"C9","2200pF","C_0402_1005Metric",107.500000,-76.708000,180.000000,bottom
"C10","4.7uF","C_0402_1005Metric",101.320000,-78.867000,-90.000000,bottom
"C11","1000pF","C_0805_2012Metric",111.930000,-89.687000,180.000000,bottom
"C12","0.1uF","C_0402_1005Metric",110.970000,-87.587000,-90.000000,bottom
"C13","100pF","C_0402_1005Metric",117.718000,-84.709000,-90.000000,bottom
"C14","22uF","C_0805_2012Metric",99.490000,-82.757000,90.000000,bottom
"C15","22uF","C_0805_2012Metric",103.710000,-82.737000,90.000000,bottom
"C16","22uF","C_0805_2012Metric",101.590000,-82.737000,90.000000,bottom
"C17","100uF","C_1206_3216Metric",95.180000,-92.583000,180.000000,bottom
"C18","100uF","C_1206_3216Metric",95.123000,-89.916000,180.000000,bottom
"C19","100uF","C_1206_3216Metric",95.160000,-86.995000,180.000000,bottom
"C20","100uF","C_1206_3216Metric",95.160000,-84.328000,180.000000,bottom
"D1","SMAJ5.0A","D_SMA",121.920000,-70.580000,90.000000,bottom
"FID5","Fiducial","Fiducial_1mm_Mask2mm",125.270000,-50.310000,180.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask2mm",78.750000,-55.900000,180.000000,bottom
"FID7","Fiducial","Fiducial_1mm_Mask2mm",132.260000,-139.060000,180.000000,bottom
"FID8","Fiducial","Fiducial_1mm_Mask2mm",78.850000,-139.070000,180.000000,bottom
"J1","54-00164","TENSILITY_54-00164",128.560000,-83.439000,-90.000000,bottom
"J6","Conn_01x04","470531000",96.382400,-143.240851,0.000000,bottom
"L1","300nH","SLC1175-271MEC_COC",103.800000,-89.082000,180.000000,bottom
"R1","8.25k","R_0402_1005Metric",119.253000,-83.058000,180.000000,bottom
"R2","~","R_0402_1005Metric",119.261000,-79.375000,180.000000,bottom
"R3","~","R_0402_1005Metric",119.248000,-81.915000,180.000000,bottom
"R4","~","R_0402_1005Metric",119.248000,-80.645000,180.000000,bottom
"R5","14.7k","R_0402_1005Metric",117.348000,-83.058000,180.000000,bottom
"R6","0","R_0402_1005Metric",117.348000,-79.375000,0.000000,bottom
"R7","~","R_0402_1005Metric",117.338000,-81.915000,0.000000,bottom
"R8","3.74k","R_0402_1005Metric",117.356000,-77.089000,0.000000,bottom
"R9","11.8k","R_0402_1005Metric",110.180000,-77.817000,0.000000,bottom
"R10","68.1k","R_0402_1005Metric",117.338000,-80.645000,0.000000,bottom
"R11","10","R_0402_1005Metric",110.190000,-76.757000,0.000000,bottom
"R12","1","R_1206_3216Metric",112.520000,-92.037000,0.000000,bottom
"R13","49.9","R_0402_1005Metric",119.258000,-85.344000,0.000000,bottom
"R14","49.9","R_0402_1005Metric",119.258000,-84.201000,180.000000,bottom
"R15","10k","R_0402_1005Metric",93.080000,-78.337000,180.000000,bottom
"T1","net-tie","NetTie-0.25mm",113.245000,-81.677000,180.000000,bottom
"U1","~","polarity",130.086918,-91.558416,180.000000,bottom
"U2","TPS546D24ARVFR","LQFN40-CLIP",110.490000,-81.417000,90.000000,bottom
"U8","BM1370_mode1","BM1370",105.610562,-116.546000,180.000000,bottom
"U11","T-Display-S3","T-Display-S3",105.500000,-60.482000,-90.000000,bottom
"C26","1uF","C_0402_1005Metric",110.961000,-132.739000,0.000000,top
"C27","1uF","C_0402_1005Metric",102.420000,-132.840000,0.000000,top
"C28","1uF","C_0402_1005Metric",113.930000,-109.860000,180.000000,top
"C29","0.1uF","C_0402_1005Metric",114.790000,-128.010000,180.000000,top
"C30","1uF","C_0402_1005Metric",114.240000,-130.020000,-90.000000,top
"C31","1uF","C_0402_1005Metric",105.750000,-130.470000,-90.000000,top
"C32","1uF","C_0402_1005Metric",112.830000,-108.026000,180.000000,top
"C33","1uF","C_0402_1005Metric",111.000000,-122.310000,90.000000,top
"C34","1uF","C_0402_1005Metric",111.530000,-106.266000,180.000000,top
"C35","1uF","C_0402_1005Metric",112.140000,-122.310000,90.000000,top
"C36","1uF","C_0402_1005Metric",110.215000,-103.146000,180.000000,top
"C37","0.1uF","C_0402_1005Metric",109.190000,-104.840000,-90.000000,top
"C38","0.1uF","C_0402_1005Metric",103.240000,-104.840000,-90.000000,top
"C39","1uF","C_0402_1005Metric",102.110000,-104.840000,-90.000000,top
"C40","1uF","C_0402_1005Metric",108.072400,-104.840000,-90.000000,top
"C41","1uF","C_0402_1005Metric",101.090000,-103.154000,180.000000,top
"C42","1uF","C_0402_1005Metric",100.655438,-122.330000,90.000000,top
"C43","100uF","C_1206_3216Metric",105.670000,-104.850000,-90.000000,top
"C44","1uF","C_0402_1005Metric",99.961000,-106.284000,180.000000,top
"C45","1uF","C_0402_1005Metric",99.525438,-122.340000,90.000000,top
"C46","1uF","C_0402_1005Metric",98.681000,-108.024000,180.000000,top
"C47","0.1uF","C_0402_1005Metric",123.790000,-103.110000,180.000000,top
"C48","1uF","C_0402_1005Metric",97.610000,-109.925000,180.000000,top
"C49","0.1uF","C_0402_1005Metric",122.930000,-101.120000,-90.000000,top
"C50","470pF","C_0402_1005Metric",93.960000,-125.940000,180.000000,top
"C51","47uF","C_1210_3225Metric",108.458000,-143.256000,-90.000000,top
"C52","0.1uF","C_0402_1005Metric",105.094000,-137.528000,180.000000,top
"C53","0.1uF","C_0402_1005Metric",104.734000,-140.618000,-90.000000,top
"D2","US1D","D_SMA",122.047000,-70.517000,-90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",78.740000,-55.905400,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",125.272800,-50.292000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",78.841600,-139.065000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",132.257800,-139.065000,0.000000,top
"R17","10k","R_0402_1005Metric",120.380000,-113.260000,-90.000000,top
"R18","1k","R_0402_1005Metric",123.210000,-116.220000,180.000000,top
"R19","1k","R_0402_1005Metric",123.210000,-118.980000,180.000000,top
"R21","0","R_0402_1005Metric",121.500000,-103.710000,180.000000,top
"R22","100","R_0402_1005Metric",93.380000,-124.360000,90.000000,top
"R23","100","R_0402_1005Metric",94.520000,-124.360000,-90.000000,top
"R24","5.6k","R_0402_1005Metric",94.070000,-135.710000,0.000000,top
"R25","10k","R_0402_1005Metric",106.174000,-140.638000,90.000000,top
"U5","MCP1824T-1202E/OT","SOT-23-5",110.981000,-130.229000,0.000000,top
"U6","MCP1824T-0802E","SOT-23-5",102.530000,-130.470000,0.000000,top
"U7","25MHz","SMD3225-4P",114.730000,-125.220000,90.000000,top
