Qty,Reference,Value,Footprint,DK,LCSC,Description
1,C2,10uF,Capacitor_SMD:C_0805_2012Metric,1276-1096-1-ND,,
1,C6,4700pF,Capacitor_SMD:C_0402_1005Metric,490-1309-1-ND,,
1,C9,2200pF,Capacitor_SMD:C_0402_1005Metric,490-8257-1-ND,,
1,C10,4.7uF,Capacitor_SMD:C_0402_1005Metric,490-14306-1-ND,,
1,C11,1000pF,Capacitor_SMD:C_0805_2012Metric,311-1127-1-ND,,
1,C13,100pF,Capacitor_SMD:C_0402_1005Metric,732-7431-1-ND,,
1,C50,470pF,Capacitor_SMD:C_0402_1005Metric,1276-1566-1-ND,,
21,C1 C5 C7 C26 C27 C28 C30 C31 C32 C33 C34 C35 C36 C39 C40 C41 C42 C44 C45 C46 C48,1uF,Capacitor_SMD:C_0402_1005Metric,587-5514-1-ND,,
3,C14 C15 C16,22uF,Capacitor_SMD:C_0805_2012Metric,490-10746-1-ND,,
5,C17 C18 C19 C20 C43,100uF,Capacitor_SMD:C_1206_3216Metric,1276-1782-1-ND,,-- valores mixtos --
3,C3 C4 C51,47uF,Capacitor_SMD:C_1210_3225Metric,1276-3376-1-ND,,
9,C8 C12 C29 C37 C38 C47 C49 C52 C53,0.1uF,Capacitor_SMD:C_0402_1005Metric,1276-1234-1-ND,,
1,D1,SMAJ5.0A,Diode_SMD:D_SMA,,,400W unidirectional Transient Voltage Suppressor, 5.0Vr, SMA(DO-214AC)
1,J1,54-00164,bitaxe:TENSILITY_54-00164,839-54-00164CT-ND,C431534,DC Barrel Jack with an internal switch
1,J6,Conn_01x04,bitaxe:470531000,WM4330-ND,,
1,L1,300nH,bitaxe:SLC1175-271MEC_COC,,,
1,R1,8.25k,Resistor_SMD:R_0402_1005Metric,311-8.25KLRCT-ND,,
1,R5,14.7k,Resistor_SMD:R_0402_1005Metric,YAG2984CT-ND,,
1,R8,3.74k,Resistor_SMD:R_0402_1005Metric,311-3.74KLRCT-ND,,
1,R9,11.8k,Resistor_SMD:R_0402_1005Metric,YAG2958CT-ND,,
1,R10,68.1k,Resistor_SMD:R_0402_1005Metric,YAG3213CT-ND,,
1,R11,10,Resistor_SMD:R_0402_1005Metric,311-10.0LRCT-ND,,
1,R12,1,Resistor_SMD:R_1206_3216Metric,CSR1206FT1R00CT-ND,,
1,R24,5.6k,Resistor_SMD:R_0402_1005Metric,13-RC0402FR-135K6LCT-ND,,
2,R13 R14,49.9,Resistor_SMD:R_0402_1005Metric,311-49.9LRCT-ND,,
3,R15 R17 R25,10k,Resistor_SMD:R_0402_1005Metric,311-10KJRCT-ND,,
2,R18 R19,1k,Resistor_SMD:R_0402_1005Metric,311-1.00KLRCT-ND,,
2,R22 R23,100,Resistor_SMD:R_0402_1005Metric,311-100LRCT-ND,,
2,R6 R21,0,Resistor_SMD:R_0402_1005Metric,-- valores mixtos --,,
1,U2,TPS546D24ARVFR,bitaxe:LQFN40-CLIP,296-TPS546D24ARVFRCT-ND,,
1,U5,MCP1824T-1202E/OT,Package_TO_SOT_SMD:SOT-23-5,MCP1824T-1202E/OTCT-ND,,
1,U6,MCP1824T-0802E,Package_TO_SOT_SMD:SOT-23-5,MCP1824T-0802E/OTCT-ND,,
1,U7,25MHz,bitaxe:SMD3225-4P,,C5137262,
1,U8,BM1370_mode1,bitaxe:BM1370,,,
1,U9,SN74AVC4T774,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,296-24739-1-ND,,
1,U10,EMC2101,Package_SO:TSSOP-8_3x3mm_P0.65mm,EMC2101-R-ACZL-CT-ND,,
1,U11,T-Display-S3,bitaxe:T-Display-S3,,,
